fips,unemp
0,73.36437050467252
1,36.37681178942955
2,86.20305217394942
3,74.05734911275303
4,21.427816800934675
5,79.22047259313683
6,0.39963536175661174
7,18.177549836594597
8,40.52745701464961
9,27.950821164197993
10,42.63846458962335
11,65.65150940615554
12,71.50308001143827
13,35.77117627574048
14,26.948462716848752
15,68.59926694930148
16,85.70807259664855
17,64.93587459405254
18,81.57874885719598
19,82.07525185090122
20,52.363737005330115
21,76.84376104421851
22,40.36436753864068
23,68.59322990495752
24,62.361505505863455
25,74.35242867030752
26,33.422303988894384
27,54.21365470121834
28,28.20991672009756
29,26.8506168287038
30,32.27369595106027
31,8.25644721025568
32,49.84989199582138
33,22.680748286327802
34,7.887753076368298
35,33.004365004697014
36,23.345420749834965
37,38.18078911058076
38,98.25929354503643
39,67.06818572753798
40,25.270705896978065
41,73.28391221354485
42,97.65655766075926
43,70.84193314041227
44,2.5421802361797585
45,27.17863455747852
46,97.82822740847895
47,61.860031246652625
48,89.65167266736535
49,67.57704910963731
50,69.90650124074735
51,52.941440673703944
52,53.335939422200354
53,54.19092502050952
54,10.884048377377164
55,61.81356039003413
56,14.357197467331472
57,15.234987473119311
58,57.59619099794915
59,78.51586887500031
60,63.42989192008153
61,35.511141535492364
62,38.57466209634048
63,57.18318333929011
64,36.820908604464485
65,69.23093690219213
66,46.53337093279302
67,37.62823170638556
68,2.250497909600624
69,15.840676641711626
70,32.886817416306094
71,89.53056588049218
72,29.354048561061454
73,43.008654566958725
74,1.3262771045385535
75,53.35761991929531
76,47.31891039560375
77,14.426983056450348
78,27.33426296253345
79,86.64357471589632
80,32.206394926103975
81,25.939238362478946
82,48.93911899064508
83,96.29468137907769
84,41.491765570736824
85,92.63300586171316
86,21.561941542937333
87,18.039702068300066
88,57.35571283751021
89,22.55717701754899
90,72.91999518477871
91,50.269486124991424
92,45.23356631636047
93,34.34005474687568
94,38.5486631646835
95,32.570545732067266
96,2.0491452287648038
97,48.568212198623506
98,15.007405462835944
99,12.354151437471062
100,40.33835591150128
101,22.928025984823886
102,79.29012205328112
103,18.17826908514605
104,65.24894377183406
105,45.98625521798393
106,96.80167315053008
107,4.05786585012089
108,38.17242178885479
109,1.544452830433951
110,58.60418072747298
111,39.24984028975281
112,57.60947071382662
113,7.218452030762856
114,69.33080999102845
115,18.01061954439832
116,84.80453867527922
117,51.13547073738418
118,66.89040099353792
119,99.65872739123583
120,69.47768442319322
121,67.24933450650353
122,75.11575950853575
123,38.78323374874149
124,76.74743557877824
125,70.74730817507394
126,79.70563251063056
127,79.24743582628486
128,68.60900174744874
129,39.28763216665507
130,39.35820123780142
131,55.09789076444647
132,6.407418276816513
133,68.57024995305969
134,26.902823708716163
135,15.67069864293561
136,91.67318230050508
137,74.33694836811677
138,75.19066593225033
139,90.08828149812331
140,52.22981082939193
141,93.49599916989222
142,68.61392102273746
143,59.124845210252744
144,39.2320702877612
145,99.77617683777038
146,69.74365316103068
147,69.80029057241264
148,12.523518765736451
149,10.18700152429025
150,27.40437360141503
151,12.494832966800073
152,29.158619179332902
153,67.58245372922356
154,47.03226021795991
155,76.61624506766161
156,11.056904885446507
157,49.394128801068895
158,63.25192100758844
159,48.272031637003586
160,44.83078996829437
161,45.305223843062834
162,29.076660942465193
163,23.440650572726906
164,31.41078048179645
165,95.43356764971604
166,8.314879019870691
167,2.4412036018187866
168,24.91292812092347
169,66.04434878691025
170,96.42619629589602
171,14.190660816233292
172,44.36908883098521
173,10.878163023465826
174,51.328322079047595
175,24.254377006601967
176,87.8429691115285
177,79.26805565752669
178,98.2229353609419
179,30.742791788451996
180,2.0073026723491427
181,12.15339868409182
182,2.832556464655045
183,40.65866884004959
184,10.543188270927162
185,46.41372296672422
186,50.88622326739419
187,4.367764036967636
188,2.264424545293542
189,64.99829632775467
190,74.08564086510836
191,85.98638401429125
192,45.07546121517064
193,42.885345730841784
194,85.02943844841451
195,39.32111963225366
196,98.4695186981628
197,63.56361545202002
198,4.3426933400041445
199,70.01963055663107
200,2.5075414091744186
201,68.85130335086963
202,53.44951805513533
203,1.52015122584922
204,29.406646150466997
205,30.885995107624087
206,89.54020688479315
207,5.228255479158472
208,27.116608335060377
209,40.67466404760012
210,79.76454812802008
211,43.11899814667205
212,39.570371550521166
213,59.489552271925774
214,14.28994586475677
215,30.282700917468762
216,73.01778989618386
217,39.67111533925664
218,66.13468148224776
219,49.74861741655383
220,91.04829400746209
221,17.76196982255701
222,95.4277433061434
223,75.95048463308056
224,80.68438375628149
225,45.71001977579089
226,90.1433919924412
227,87.1580338209961
228,33.044855921514106
229,4.6868811787324045
230,50.93085417071378
231,69.87770952074376
232,31.496946525221205
233,40.12462106251107
234,54.146763397235176
